Arbitrage pair: ['ETHUSDT', 'BNTETH', 'BNTUSDT'], Profit: 0.38 USDT, Проміжні суми: BNTETH: 0.174237, BNTUSDT: 804.418281, Популярність: 28214.5
Arbitrage pair: ['ETHUSDT', 'BNBETH', 'BNBUSDT'], Profit: 0.12 USDT, Проміжні суми: BNBETH: 0.174238, BNBUSDT: 0.981069, Популярність: 18339.482
Arbitrage pair: ['ETHUSDT', 'EOSETH', 'EOSUSDT'], Profit: 0.28 USDT, Проміжні суми: EOSETH: 0.174247, EOSUSDT: 617.460261, Популярність: 157432.3 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'BNTETH', 'BNTUSDT'], Profit: 0.42 USDT, Проміжні суми: BNTETH: 0.174247, BNTUSDT: 804.463611, Популярність: 28462.0
Arbitrage pair: ['ETHUSDT', 'BNBETH', 'BNBUSDT'], Profit: 0.15 USDT, Проміжні суми: BNBETH: 0.174247, BNBUSDT: 0.981119, Популярність: 18339.493
Arbitrage pair: ['ETHUSDT', 'DASHETH', 'DASHUSDT'], Profit: 0.12 USDT, Проміжні суми: DASHETH: 0.174391, DASHUSDT: 15.926114, Популярність: 821.575
Arbitrage pair: ['ETHUSDT', 'DASHETH', 'DASHUSDT'], Profit: 0.33 USDT, Проміжні суми: DASHETH: 0.174449, DASHUSDT: 15.931420, Популярність: 821.575
Arbitrage pair: ['ETHUSDT', 'TRXETH', 'TRXUSDT'], Profit: 0.00 USDT, Проміжні суми: TRXETH: 0.174303, TRXUSDT: 3115.891047, Популярність: 5752567.0 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'TRXETH', 'TRXUSDT'], Profit: 0.00 USDT, Проміжні суми: TRXETH: 0.174303, TRXUSDT: 3115.891047, Популярність: 5752567.0 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'ADAETH', 'ADAUSDT'], Profit: 0.15 USDT, Проміжні суми: ADAETH: 0.174364, ADAUSDT: 606.273500, Популярність: 2195954.1 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'RLCETH', 'RLCUSDT'], Profit: 0.01 USDT, Проміжні суми: RLCETH: 0.174429, RLCUSDT: 273.186160, Популярність: 27349.7
Arbitrage pair: ['ETHUSDT', 'RLCETH', 'RLCUSDT'], Profit: 0.01 USDT, Проміжні суми: RLCETH: 0.174429, RLCUSDT: 273.186160, Популярність: 27349.7
Arbitrage pair: ['ETHUSDT', 'RLCETH', 'RLCUSDT'], Profit: 0.09 USDT, Проміжні суми: RLCETH: 0.174449, RLCUSDT: 273.216985, Популярність: 27352.0
Arbitrage pair: ['BTCUSDT', 'ETCBTC', 'ETCUSDT'], Profit: 0.11 USDT, Проміжні суми: ETCBTC: 0.006773, ETCUSDT: 18.085796, Популярність: 277642.95 (практично гарантовано)
