ETHBTC, ETHUSDT
LTCBTC, LTCUSDT
BNBBTC, BNBUSDT
NEOBTC, NEOUSDT
QTUMETH, QTUMUSDT
EOSETH, EOSUSDT
SNTETH, SNTUSDT
BNTETH, BNTUSDT
GASBTC, GASUSDT
BNBETH, BNBUSDT
LRCBTC, LRCUSDT
LRCETH, LRCUSDT
QTUMBTC, QTUMUSDT
ZRXBTC, ZRXUSDT
KNCBTC, KNCUSDT
IOTABTC, IOTAUSDT
IOTAETH, IOTAUSDT
LINKBTC, LINKUSDT
LINKETH, LINKUSDT
XVGETH, XVGUSDT
MTLBTC, MTLUSDT
EOSBTC, EOSUSDT
SNTBTC, SNTUSDT
ETCETH, ETCUSDT
ETCBTC, ETCUSDT
ZECBTC, ZECUSDT
ZECETH, ZECUSDT
BNTBTC, BNTUSDT
ASTBTC, ASTUSDT
DASHBTC, DASHUSDT
DASHETH, DASHUSDT
OAXBTC, OAXUSDT
REQBTC, REQUSDT
VIBBTC, VIBUSDT
TRXBTC, TRXUSDT
TRXETH, TRXUSDT
POWRBTC, POWRUSDT
POWRETH, POWRUSDT
XRPBTC, XRPUSDT
XRPETH, XRPUSDT
ENJBTC, ENJUSDT
ENJETH, ENJUSDT
STORJBTC, STORJUSDT
KMDBTC, KMDUSDT
NULSBTC, NULSUSDT
AMBBTC, AMBUSDT
BATBTC, BATUSDT
LSKBTC, LSKUSDT
LSKETH, LSKUSDT
MANABTC, MANAUSDT
MANAETH, MANAUSDT
ADXBTC, ADXUSDT
ADXETH, ADXUSDT
ADABTC, ADAUSDT
ADAETH, ADAUSDT
XLMBTC, XLMUSDT
XLMETH, XLMUSDT
LTCETH, LTCUSDT
LTCBNB, LTCUSDT
WAVESBTC, WAVESUSDT
WAVESETH, WAVESUSDT
ICXBTC, ICXUSDT
ELFBTC, ELFUSDT
ELFETH, ELFUSDT
RLCBTC, RLCUSDT
RLCETH, RLCUSDT
PIVXBTC, PIVXUSDT
IOSTBTC, IOSTUSDT
STEEMBTC, STEEMUSDT
STEEMETH, STEEMUSDT
BLZBTC, BLZUSDT
ZILBTC, ZILUSDT
ZILETH, ZILUSDT
ONTBTC, ONTUSDT
